BaseId,x,z,DistFromCtr,Theta,ChannelStart,PathId,NearestTheta5,DistFromCenterOnTheta5,DistFromTheta5
0,257.2388,59.36802,264.0007,77.00427,169,23,75,263.8391,9.233181
1,230.9049,127.9814,264.0006,61.00214,148,23,60,263.9603,4.617298
2,186.6767,186.6767,264.0007,45,127,23,45,264.0006,-2.157919E-05
3,127.9814,230.905,264.0006,28.99786,106,23,30,263.9603,-4.617291
4,59.36802,257.2388,264.0007,12.99573,85,23,15,263.8391,-9.233196
5,-59.36804,257.2387,264.0006,347.0043,127,7,345,263.8391,9.233155
6,-127.9814,230.9049,264.0006,331.0021,148,7,330,263.9603,4.617311
7,-186.6767,186.6767,264.0007,315,169,7,315,264.0006,-2.157919E-05
8,-230.9049,127.9814,264.0006,298.9979,190,7,300,263.9603,-4.617311
9,-257.2387,59.36804,264.0006,282.9957,211,7,285,263.8391,-9.233189
10,-257.2388,-59.36802,264.0007,257.0043,442,15,255,263.8391,9.233196
11,-230.905,-127.9814,264.0006,241.0021,421,15,240,263.9603,4.617303
12,-186.6767,-186.6766,264.0006,225,400,15,225,264.0007,-5.501635E-05
13,-127.9814,-230.9049,264.0006,208.9979,379,15,210,263.9603,-4.617243
14,-59.368,-257.2388,264.0007,192.9957,358,15,195,263.8392,-9.233185
15,59.36801,-257.2388,264.0007,167.0043,316,31,165,263.8391,9.233189
16,127.9815,-230.9049,264.0006,151.0021,337,31,150,263.9603,4.617223
17,186.6767,-186.6766,264.0006,135,358,31,135,264.0007,-0.0001705984
18,230.905,-127.9813,264.0007,118.9978,379,31,120,263.9603,-4.617496
19,257.2388,-59.36783,264.0006,102.9957,400,31,105,263.8391,-9.233444
20,361.5862,59.61404,366.4675,80.63797,484,23,80,366.4448,4.080425
21,325.9977,167.4035,366.4676,62.819,1,23,65,366.2021,-13.94652
22,259.1317,259.1317,366.4676,45,22,23,45,366.4676,0
23,167.4035,325.9977,366.4676,27.18103,43,23,25,366.202,13.94656
24,59.61405,361.5862,366.4675,9.36203,64,23,10,366.4448,-4.080436
25,-59.61407,361.5862,366.4675,350.638,106,7,350,366.4448,4.080399
26,-167.4036,325.9977,366.4676,332.819,85,7,335,366.2021,-13.94651
27,-259.1317,259.1317,366.4676,315,64,7,315,366.4676,0
28,-325.9977,167.4036,366.4676,297.181,43,7,295,366.2021,13.94651
29,-361.5862,59.61412,366.4675,279.3621,22,7,280,366.4448,-4.080389
30,-361.5862,-59.61401,366.4675,260.638,253,15,260,366.4448,4.08047
31,-325.9978,-167.4035,366.4675,242.819,274,15,245,366.2021,-13.94645
32,-259.1318,-259.1316,366.4676,225,295,15,225,366.4676,8.631674E-05
33,-167.4037,-325.9977,366.4676,207.181,316,15,205,366.2021,13.94675
34,-59.61423,-361.5862,366.4676,189.3621,337,15,190,366.4448,-4.080216
35,59.6139,-361.5862,366.4675,170.638,295,31,170,366.4448,4.080554
36,167.4034,-325.9979,366.4676,152.819,274,31,155,366.2021,-13.94636
37,259.1316,-259.1319,366.4676,135,253,31,135,366.4676,0.0001726335
38,325.9976,-167.4038,366.4675,117.1811,232,31,115,366.2021,13.94673
39,361.5862,-59.61435,366.4676,99.36209,211,31,100,366.4449,-4.080223
40,465.1165,59.71754,468.9345,82.68365,463,22,85,468.5513,-18.95272
41,440.996,159.443,468.9345,70.12244,442,22,70,468.9334,1.00213
42,395.7643,251.5356,468.9345,57.56122,421,22,60,468.5098,-19.95405
43,331.5868,331.5868,468.9345,45,400,22,45,468.9344,-4.315837E-05
44,251.5356,395.7644,468.9345,32.43878,379,22,30,468.5097,19.95403
45,159.4429,440.996,468.9345,19.87756,358,22,20,468.9334,-1.002198
46,59.71751,465.1165,468.9345,7.316345,337,22,5,468.5514,18.95266
